"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","seed","mh_pval","clog_coef","clog_pval"
"1","matching","A1","mhl",20000,4,1,0.1,1,0.334907678799708,0.182321556793955,0.670245265976437
"2","matching","A1","mhl",20000,4,1,0.5,1,0.110335680959923,0.251314428280905,0.221886271977429
"3","matching","A1","mhl",10000,4,5,0.1,1,0.352728493055637,0.143100843640673,0.70569643359096
"4","matching","A1","mhl",10000,4,5,0.5,1,0.5,0,1
"5","matching","A1","mhl",10000,4,10,0.1,1,0.0889658626341273,0.530628251016774,0.183032835709072
"6","matching","A1","mhl",10000,4,10,0.5,1,0.721850769362633,-0.115512887121845,0.556517908806752
"7","matching","A1","mhl",20000,10,1,0.1,1,0.5,0,1
"8","matching","A1","mhl",20000,10,1,0.5,1,0.894548536971695,-0.26236426446749,0.212212240508292
"9","matching","A1","mhl",10000,10,5,0.1,1,0.586370326718644,-0.0953101796806688,0.827323681628341
"10","matching","A1","mhl",10000,10,5,0.5,1,0.583485553140239,-0.0444517625702391,0.833042437514799
"11","matching","A1","mhl",10000,10,10,0.1,1,0.5,0,1
"12","matching","A1","mhl",10000,10,10,0.5,1,0.583485553140239,-0.044451762570239,0.833042437514799
"13","matching","A1","mhl",20000,20,1,0.1,1,0.945853172050495,-0.773189878028441,0.11720945012066
"14","matching","A1","mhl",20000,20,1,0.5,1,0.787484673607536,-0.182321556793955,0.425671630845547
"15","matching","A1","mhl",10000,20,5,0.1,1,0.327360423009289,0.200670695462151,0.655262030315415
"16","matching","A1","mhl",10000,20,5,0.5,1,0.5,0,1
"17","matching","A1","mhl",10000,20,10,0.1,1,0.58258633540738,-0.0870113769242422,0.834878672501697
"18","matching","A1","mhl",10000,20,10,0.5,1,0.776150463767353,-0.165079750359449,0.448214446939559
"19","matching","A2","mhl",20000,4,1,0.1,1,0.41741366459262,0.0870113769242421,0.834878672501697
"20","matching","A2","mhl",20000,4,1,0.5,1,0.20464690867672,0.170625517030764,0.409861765117832
"21","matching","A2","mhl",10000,4,5,0.1,1,0.281851430825387,0.22314355131421,0.564510978132912
"22","matching","A2","mhl",10000,4,5,0.5,1,0.5,0,1
"23","matching","A2","mhl",10000,4,10,0.1,1,0.0889658626341273,0.530628251016774,0.183032835709072
"24","matching","A2","mhl",10000,4,10,0.5,1,0.653969254532031,-0.0784716154097518,0.692136442901359
"25","matching","A2","mhl",20000,10,1,0.1,1,0.5,0,1
"26","matching","A2","mhl",20000,10,1,0.5,1,0.875568062531039,-0.242946178610389,0.250027593771244
"27","matching","A2","mhl",10000,10,5,0.1,1,0.665092321200292,-0.182321556793955,0.670245265976437
"28","matching","A2","mhl",10000,10,5,0.5,1,0.661671339141788,-0.0870113769242423,0.676753527081613
"29","matching","A2","mhl",10000,10,10,0.1,1,0.5,0,1
"30","matching","A2","mhl",10000,10,10,0.5,1,0.663355010170002,-0.0889474859402269,0.673391427919405
"31","matching","A2","mhl",20000,20,1,0.1,1,0.921350396474857,-0.693147178402484,0.165657039168281
"32","matching","A2","mhl",20000,20,1,0.5,1,0.715594299793331,-0.130053128248198,0.569083688201457
"33","matching","A2","mhl",10000,20,5,0.1,1,0.327360423009289,0.200670695462151,0.655262030315415
"34","matching","A2","mhl",10000,20,5,0.5,1,0.585375770408527,-0.0465200156340751,0.829263617919505
"35","matching","A2","mhl",10000,20,10,0.1,1,0.58258633540738,-0.0870113769242422,0.834878672501697
"36","matching","A2","mhl",10000,20,10,0.5,1,0.741182940708327,-0.139761942375159,0.517974790556169
"37","counter-matching","A1","mhl",20000,4,1,0.1,1,0.361836804915882,0.125163142122991,0.723846518611427
"38","counter-matching","A1","mhl",20000,4,1,0.5,1,0.348545805002982,0.0606246218112156,0.697135697211101
"39","counter-matching","A1","mhl",10000,4,5,0.1,1,0.28873433121365,0.207639364778244,0.578151716260274
"40","counter-matching","A1","mhl",10000,4,5,0.5,1,0.380184165027601,0.0465200156340752,0.760389274991425
"41","counter-matching","A1","mhl",10000,4,10,0.1,1,0.232604409226071,0.268263986594678,0.466545341652668
"42","counter-matching","A1","mhl",10000,4,10,0.5,1,0.469159701306647,0.0119761910467158,0.938319770493078
"43","counter-matching","A1","mhl",20000,10,1,0.1,1,0.420740290560897,0.0800427076370704,0.841522329381647
"44","counter-matching","A1","mhl",20000,10,1,0.5,1,0.853367882430659,-0.170345365747239,0.293847752641158
"45","counter-matching","A1","mhl",10000,10,5,0.1,1,0.783616209666108,-0.310154928303823,0.434608975055545
"46","counter-matching","A1","mhl",10000,10,5,0.5,1,0.772591738965731,-0.124297716677577,0.455106785990928
"47","counter-matching","A1","mhl",10000,10,10,0.1,1,0.642499672655955,-0.133531392624523,0.715203053361471
"48","counter-matching","A1","mhl",10000,10,10,0.5,1,0.898363776802416,-0.216671036808593,0.20415656206584
"49","counter-matching","A1","mhl",20000,20,1,0.1,1,0.921350396474857,-0.693147178402484,0.165657039168281
"50","counter-matching","A1","mhl",20000,20,1,0.5,1,0.758550151109904,-0.123232640423948,0.483176564435436
"51","counter-matching","A1","mhl",10000,20,5,0.1,1,0.413629673281356,0.0953101796806681,0.827323681628342
"52","counter-matching","A1","mhl",10000,20,5,0.5,1,0.848258167987579,-0.176930708159078,0.304114228613876
"53","counter-matching","A1","mhl",10000,20,10,0.1,1,0.58258633540738,-0.0870113769242422,0.834878672501697
"54","counter-matching","A1","mhl",10000,20,10,0.5,1,0.7807109869595,-0.133531392624523,0.438918084687985
"55","counter-matching","A2","mhl",20000,4,1,0.1,1,0.569097783475495,-0.0606246218112159,0.861825381138158
"56","counter-matching","A2","mhl",20000,4,1,0.5,1,0.376658111965676,0.0493927553283323,0.753340483470999
"57","counter-matching","A2","mhl",10000,4,5,0.1,1,0.167961906575868,0.374693449441137,0.338746749373202
"58","counter-matching","A2","mhl",10000,4,5,0.5,1,0.409789778744041,0.0346855579877853,0.819588445672758
"59","counter-matching","A2","mhl",10000,4,10,0.1,1,0.176580176657994,0.348306694268123,0.355590512469625
"60","counter-matching","A2","mhl",10000,4,10,0.5,1,0.46897372842147,0.0121213605323445,0.93794783595857
"61","counter-matching","A2","mhl",20000,10,1,0.1,1,0.341545699154804,0.167054084663166,0.683439627231701
"62","counter-matching","A2","mhl",20000,10,1,0.5,1,0.853367882430659,-0.170345365747239,0.293847752641159
"63","counter-matching","A2","mhl",10000,10,5,0.1,1,0.832038093424132,-0.374693449441138,0.338746749373202
