"","algo","approach","n","n.cova","event.prob","ttm.prob","mh_pval","clog_coef","clog_pval"
"clog_mhl1.A1.4.26.3.0.1.1","A1","mhl",20000,4,1,0.1,0.341545699154804,0.182321556793955,0.670245265976437
"clog_mhl1.A1.4.26.3.0.1.2","A1","mhl",20000,4,1,0.1,0.216383790333892,0.207639364778244,0.578151716260274
"clog_mhl1.A1.4.26.3.0.1.3","A1","mhl",20000,4,1,0.1,0.647271506944363,-0.154150679827258,0.69517334211627
"clog_mhl1.A1.4.26.3.0.1.4","A1","mhl",20000,4,1,0.1,0.5,0.064538521129486,0.857486911736323
"clog_mhl1.A1.4.26.3.0.1.5","A1","mhl",20000,4,1,0.1,0.961450064128229,-0.64662716412855,0.0823270855097585
"clog_mhl1.A1.4.26.3.0.1.6","A1","mhl",20000,4,1,0.1,0.318675944116969,0.200670695462151,0.655262030315415
"clog_mhl1.A1.4.26.3.0.1.7","A1","mhl",20000,4,1,0.1,0.413629673281356,0.154150679827258,0.69517334211627
"clog_mhl1.A1.4.26.3.0.1.8","A1","mhl",20000,4,1,0.1,0.630558659818236,-0.117783035112988,0.731749689983091
"clog_mhl1.A1.4.26.3.0.1.9","A1","mhl",20000,4,1,0.1,0.0385499358717709,0.613104472516681,0.075014991186669
"clog_mhl1.A1.4.26.3.0.1.10","A1","mhl",20000,4,1,0.1,0.258206134198019,0.22314355131421,0.505867882196818
"clog_mhl1.A1.4.26.3.0.1.11","A1","mhl",20000,4,1,0.1,0.426341842167321,0.0741079721324493,0.847424147616719
"clog_mhl1.A1.4.26.3.0.1.12","A1","mhl",20000,4,1,0.1,0.642499672655955,-0.182321556793954,0.670245265976437
"clog_mhl1.A1.4.26.3.0.1.13","A1","mhl",20000,4,1,0.1,0.423694829843357,0.0870113769242421,0.834878672501697
"clog_mhl1.A1.4.26.3.0.1.14","A1","mhl",20000,4,1,0.1,0.369441340181764,0.133531392624523,0.715203053361471
"clog_mhl1.A1.4.26.3.0.1.15","A1","mhl",20000,4,1,0.1,0.136660839146149,0.356674943938601,0.306044423738623
"clog_mhl1.A1.4.26.3.0.1.16","A1","mhl",20000,4,1,0.1,0.199012359753469,0.325422400434594,0.371281131359037
"clog_mhl1.A1.4.26.3.0.1.17","A1","mhl",20000,4,1,0.1,0.725746882249926,-0.287682072451775,0.45125253734309
"clog_mhl1.A1.4.26.3.0.1.18","A1","mhl",20000,4,1,0.1,0.205539889361658,0.257829109302098,0.424622493681964
"clog_mhl1.A1.4.26.3.0.1.19","A1","mhl",20000,4,1,0.1,0.0416322583317752,0.693147178402484,0.0895347727601966
"clog_mhl1.A1.4.26.3.0.1.20","A1","mhl",20000,4,1,0.1,0.0912112197258679,0.479573080251543,0.174169192156021
"clog_mhl1.A1.4.26.3.0.1.21","A1","mhl",20000,4,1,0.1,0.699245932779705,-0.171850256926659,0.612527375226435
"clog_mhl1.A1.4.26.3.0.1.22","A1","mhl",20000,4,1,0.1,0.361836804915882,0.194156014440958,0.590597399111663
"clog_mhl1.A1.4.26.3.0.1.23","A1","mhl",20000,4,1,0.1,0.627198605536269,-0.0953101796806688,0.757709567317265
"clog_mhl1.A1.4.26.3.0.1.24","A1","mhl",20000,4,1,0.1,0.352728493055637,0.154150679827258,0.69517334211627
"clog_mhl1.A1.4.26.3.0.1.25","A1","mhl",20000,4,1,0.1,0.352728493055637,0.143100843640673,0.70569643359096
"clog_mhl1.A1.4.26.3.0.1.26","A1","mhl",20000,4,1,0.1,0.699245932779705,-0.251314428280905,0.480655065297855
"clog_mhl1.A1.4.26.3.0.1.27","A1","mhl",20000,4,1,0.1,0.747507462453077,-0.211309093667207,0.517191932355125
"clog_mhl1.A1.4.26.3.0.1.28","A1","mhl",20000,4,1,0.1,0.0197958816183452,0.693147178402484,0.0605110449129667
"clog_mhl1.A1.4.26.3.0.1.29","A1","mhl",20000,4,1,0.1,0.43470853037062,0.0571584138364919,0.865790472159146
"clog_mhl1.A1.4.26.3.0.1.30","A1","mhl",20000,4,1,0.1,0.567113812503689,-0.117783035112988,0.731749689983091
"clog_mhl1.A1.4.26.3.0.1.31","A1","mhl",20000,4,1,0.1,0.426341842167321,0.133531392624523,0.715203053361471
"clog_mhl1.A1.4.26.3.0.1.32","A1","mhl",20000,4,1,0.1,0.921350396474857,-0.479573080251543,0.174169192156021
