"","algo","approach","n","n.cova","event.prob","ttm.prob","seed","clog_coef","clog_pval","clog_lower","clog_upper"
"1","A1","exact",20000,1,1,0.1,1,-0.441832752275935,0.301070803419657,-1.27922075888834,0.395555254336469
"2","A1","exact",20000,1,1,0.1,2,0.0689928714740538,0.852712563991488,-0.659352630658397,0.797338373606505
"3","A1","exact",20000,1,1,0.1,3,0.200670695462151,0.655262030315415,-0.680267603744391,1.08160899466869
"4","A1","exact",10000,1,10,0.1,1,-0.0571584138364919,0.865790472159146,-0.720017784178793,0.605700956505809
"5","A1","exact",10000,1,10,0.1,2,-0.0800427076370706,0.841522329381646,-0.864656243558651,0.70457082828451
"6","A1","exact",10000,1,10,0.1,3,0.22314355131421,0.638049326627154,-0.706548997142632,1.15283609977105
"7","A2","exact",20000,1,1,0.1,1,0.510825623739935,0.322560618687519,-0.501295425762097,1.52294667324197
"8","A2","exact",20000,1,1,0.1,2,0.241162056816888,0.549474018091027,-0.548529936885642,1.03085405051942
"9","A2","exact",20000,1,1,0.1,3,0,1,-0.768761123316062,0.768761123316062
"10","A2","exact",10000,1,10,0.1,1,0.064538521129486,0.857486911736323,-0.639867917658658,0.76894495991763
"11","A2","exact",10000,1,10,0.1,2,0.200670695462151,0.655262030315415,-0.680267603744391,1.08160899466869
"12","A2","exact",10000,1,10,0.1,3,0,1,-0.835731451070272,0.835731451070272
"13","A1","no_match",20000,1,1,0.1,1,0.107794535893102,0.834618144649408,-0.904136792004438,1.11972586379064
"14","A1","no_match",20000,1,1,0.1,2,-0.189632433805561,0.583862576851548,-0.86817511644902,0.488910248837898
"15","A1","no_match",20000,1,1,0.1,3,-0.174345043930892,0.641445314079797,-0.90813384619026,0.559443758328475
"16","A1","no_match",10000,1,10,0.1,1,0.5751245706798,0.171574981425939,-0.249375104026894,1.39962424538649
"17","A1","no_match",10000,1,10,0.1,2,0.179728490062472,0.679597358936936,-0.67317851654909,1.03263549667403
"18","A1","no_match",10000,1,10,0.1,3,-0.00401368899509386,0.992200473968681,-0.808755825294033,0.800728447303845
