"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","r.penalty","seed","mh_pval","clog_coef","clog_pval","clog_lower","clog_upper"
"1","matching","A1","mhl",1e+05,20,0.01,0.5,NA,1,0.949053963452432,-0.162518929497776,0.102269247538425,-0.357464401351245,0.0324265423556939
"2","matching","A1","mhl",1e+05,20,0.01,0.5,NA,2,0.918775297539308,-0.13477440086412,0.162767443071093,-0.324019560112439,0.0544707583842003
"3","matching","A1","mhl",1e+05,20,0.01,0.5,NA,3,0.999150141523858,-0.305381649551169,0.00177160406593869,-0.496848047277585,-0.113915251824753
"4","matching","A1","mhl",1e+05,20,0.01,0.5,NA,4,0.442813806541093,0.0137933221323357,0.885628513508397,-0.17415730817876,0.201743952443431
"5","matching","A1","mhl",1e+05,20,0.01,0.5,NA,5,0.757491611997799,-0.0696799206241666,0.485105093486897,-0.265306826109682,0.125946984861349
"6","matching","A1","mhl",1e+05,20,0.01,0.5,NA,6,0.976881964278128,-0.189756535281473,0.0465640134628869,-0.376626029687284,-0.00288704087566227
"7","matching","A1","mhl",1e+05,20,0.01,0.5,NA,7,0.87463234107741,-0.11483925961237,0.250995689958931,-0.310913907954093,0.0812353887293543
"8","matching","A1","mhl",1e+05,20,0.01,0.5,NA,8,0.634432637424447,-0.0337381396317638,0.73114698239488,-0.226187214632015,0.158710935368488
"9","matching","A1","mhl",1e+05,20,0.01,0.5,NA,9,0.990868613369704,-0.228365495295361,0.0185164239050923,-0.418413984545145,-0.0383170060455776
"10","matching","A1","mhl",1e+05,20,0.01,0.5,NA,10,0.99942618599433,-0.323171957433701,0.00120590490893857,-0.518819635008571,-0.127524279858831
"11","matching","A1","mhl",1e+05,20,0.01,0.5,NA,11,0.797999561889153,-0.0819735829165893,0.404132471819143,-0.274556927852073,0.110609762018895
"12","matching","A1","mhl",1e+05,20,0.01,0.5,NA,12,0.972295333348154,-0.184003642976939,0.0557540974641048,-0.372529212742555,0.00452192678867688
"13","matching","A1","mhl",1e+05,20,0.01,0.5,NA,13,0.401654191225602,0.0248151691197143,0.803313325588342,-0.170465382044286,0.220095720283714
"14","matching","A1","mhl",1e+05,20,0.01,0.5,NA,14,0.725248688826983,-0.0597192346969245,0.549561943287314,-0.25531463572853,0.135876166334681
"15","matching","A1","mhl",1e+05,20,0.01,0.5,NA,15,0.943201336847294,-0.152016207298626,0.11394517582654,-0.340505533556285,0.0364731189590331
"16","matching","A1","mhl",1e+05,20,0.01,0.5,NA,16,0.84753467729043,-0.100322721450902,0.305133442221531,-0.292064708576027,0.0914192656742228
"17","matching","A1","mhl",1e+05,20,0.01,0.5,NA,17,0.763989595435489,-0.0689928714740548,0.472108676724659,-0.257050871476992,0.119065128528883
"18","matching","A1","mhl",1e+05,20,0.01,0.5,NA,18,0.403512413092742,0.0238674814066355,0.807029316138712,-0.167647167791557,0.215382130604828
"19","matching","A1","mhl",1e+05,20,0.01,0.5,NA,19,0.994122386096864,-0.245354935076923,0.0119675442112382,-0.436706992806759,-0.0540028773470866
"20","matching","A1","mhl",1e+05,20,0.01,0.5,NA,20,0.970033102461988,-0.186815946381794,0.060306318670188,-0.38172852938392,0.00809663662033233
"21","matching","A1","mhl",1e+05,20,0.01,0.5,NA,21,0.651522403116678,-0.0379192348620984,0.696972449492264,-0.228772640410592,0.152934170686396
"22","matching","A1","mhl",1e+05,20,0.01,0.5,NA,22,0.67634260780574,-0.046520015634075,0.647344427439353,-0.245835058018471,0.152795026750321
"23","matching","A1","mhl",1e+05,20,0.01,0.5,NA,23,0.461582161515517,0.00930239266231311,0.923164599211442,-0.179735364756844,0.19834015008147
"24","matching","A1","mhl",1e+05,20,0.01,0.5,NA,24,0.887373546819673,-0.117783035656383,0.225521017256584,-0.30825729748109,0.0726912261683233
"25","matching","A1","mhl",1e+05,20,0.01,0.5,NA,25,0.945282201062988,-0.155607344323722,0.109793657106843,-0.346327581963643,0.0351128933161984
"26","matching","A1","mhl",1e+05,20,0.01,0.5,NA,26,0.976637923832903,-0.193543081537919,0.0470675972482516,-0.384578538332593,-0.00250762474324462
"27","matching","A1","mhl",1e+05,20,0.01,0.5,NA,27,0.995475383076418,-0.253688316636067,0.00923574589100942,-0.444691519998939,-0.0626851132731949
"28","matching","A1","mhl",1e+05,20,0.01,0.5,NA,28,0.913943965442685,-0.138327564888015,0.17245408139824,-0.337041183802694,0.0603860540266633
"29","matching","A1","mhl",1e+05,20,0.01,0.5,NA,29,0.993955675483078,-0.248240340400483,0.0123105918276387,-0.44261508555598,-0.0538655952449857
"30","matching","A1","mhl",1e+05,20,0.01,0.5,NA,30,0.917158080543498,-0.137470990628603,0.166017115325438,-0.331994961019328,0.0570529797621219
"31","matching","A1","mhl",1e+05,20,0.01,0.5,NA,31,0.420544042798153,0.0201011793210852,0.841090725304041,-0.176396979434485,0.216599338076656
"32","matching","A1","mhl",1e+05,20,0.01,0.5,NA,32,0.5,0,1,-0.190819107926086,0.190819107926086
"33","matching","A1","mhl",1e+05,20,0.01,0.5,NA,33,0.990089086448867,-0.231993166591192,0.0200993938480933,-0.427605446305677,-0.0363808868767065
"34","matching","A1","mhl",1e+05,20,0.01,0.5,NA,34,0.441877389893302,0.0142520227072013,0.883755756613034,-0.176798427493281,0.205302472907683
"35","matching","A1","mhl",1e+05,20,0.01,0.5,NA,35,0.968952935686579,-0.178965848946983,0.062443191338178,-0.367232671434495,0.00930097354052947
"36","matching","A1","mhl",1e+05,20,0.01,0.5,NA,36,0.885745330623826,-0.116139649912654,0.228770860964174,-0.305274379843487,0.072995080018179
"37","matching","A1","mhl",1e+05,20,0.01,0.5,NA,37,0.877617703097483,-0.117783035656384,0.245037328476791,-0.316366181143046,0.0808001098302791
"38","matching","A1","mhl",1e+05,20,0.01,0.5,NA,38,0.933003145242506,-0.140581950621189,0.134314172298963,-0.324603070246705,0.0434391690043264
"39","matching","A1","mhl",1e+05,20,0.01,0.5,NA,39,0.996861716344722,-0.273293334999679,0.00644017946221497,-0.469897475682657,-0.0766891943167014
"40","matching","A1","mhl",1e+05,20,0.01,0.5,NA,40,0.725248688826983,-0.0597192346969247,0.549561943287313,-0.255314635728531,0.135876166334681
"41","matching","A1","mhl",1e+05,20,0.01,0.5,NA,41,0.993822707491064,-0.2419136539962,0.0125687258605975,-0.431892603091014,-0.0519347049013849
"42","matching","A1","mhl",1e+05,20,0.01,0.5,NA,42,0.97928220319604,-0.185333607263946,0.0417273490549601,-0.36372570665,-0.00694150787789283
"43","matching","A1","mhl",1e+05,20,0.01,0.5,NA,43,0.995394357265144,-0.252495763326736,0.00939854121686484,-0.443039953422275,-0.061951573231198
"44","matching","A1","mhl",1e+05,20,0.01,0.5,NA,44,0.804585884574005,-0.0818638700354923,0.390960518947002,-0.268895673007077,0.105167932936092
"45","matching","A1","mhl",1e+05,20,0.01,0.5,NA,45,0.658454300845196,-0.0416726964001891,0.683113082632618,-0.241754108072677,0.158408715272299
"46","matching","A1","mhl",1e+05,20,0.01,0.5,NA,46,0.763989595435489,-0.0689928714740541,0.472108676724664,-0.257050871476991,0.119065128528883
"47","matching","A1","mhl",1e+05,20,0.01,0.5,NA,47,0.970346345900598,-0.187741624263294,0.0596811953000004,-0.383142141541049,0.00765889301446046
"48","matching","A1","mhl",1e+05,20,0.01,0.5,NA,48,0.918719976301089,-0.139529411273076,0.162901013299932,-0.335513622033232,0.0564547994870808
"49","matching","A1","mhl",1e+05,20,0.01,0.5,NA,49,0.709076485354361,-0.0551518200723878,0.581894878313785,-0.251468293255021,0.141164653110245
"50","matching","A1","mhl",1e+05,20,0.01,0.5,NA,50,0.971905079399868,-0.178345408414315,0.0565164451849305,-0.361641010834119,0.00495019400548849
"51","counter-matching","A1","mhl",1e+05,20,0.01,0.5,1,1,0.896977626550172,-0.103253033101826,0.206246240525247,-0.263363364232279,0.0568572980286279
"52","counter-matching","A1","mhl",1e+05,20,0.01,0.5,1,2,0.977684890697932,-0.158470340971775,0.0448537578772939,-0.313302119220271,-0.00363856272328
"53","counter-matching","A1","mhl",1e+05,20,0.01,0.5,1,3,0.996980220475672,-0.216223108469635,0.00613859951648622,-0.370874744972145,-0.0615714719671263
"54","counter-matching","A1","mhl",1e+05,20,0.01,0.5,1,4,0.878494946548276,-0.0940725557711215,0.243183857639534,-0.25205751654015,0.063912404997907
