"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","r.penalty","seed","mh_pval","clog_coef","clog_pval","clog_lower","clog_upper"
"1","matching","A1","drs",50000,4,0.01,0.1,NA,1,0.544789999745099,-0.0253178079842783,0.910422382888185,-0.46637949827002,0.415743882301463
"2","matching","A1","drs",50000,4,0.01,0.1,NA,2,0.871241008875469,-0.257829109302098,0.258835872539892,-0.705366778387165,0.189708559782968
"3","matching","A1","drs",50000,4,0.01,0.1,NA,3,0.672639576990711,-0.100083458382946,0.65485556600675,-0.538893584576679,0.338726667810787
"4","matching","A1","drs",50000,4,0.01,0.1,NA,4,0.787484673607536,-0.182321556793954,0.425671630845547,-0.630896268029629,0.26625315444172
"5","matching","A1","drs",50000,4,0.01,0.1,NA,5,0.356992897834691,0.0896121586093415,0.714077267364457,-0.389764055288899,0.568988372507582
"6","matching","A1","drs",50000,4,0.01,0.1,NA,6,0.121807694164959,0.248461359298499,0.244827932988978,-0.170260649359088,0.667183367956086
"7","matching","A1","drs",50000,4,0.01,0.1,NA,7,0.720795305755376,-0.137201121513485,0.558717854355886,-0.597073959461057,0.322671716434087
"8","matching","A1","drs",50000,4,0.01,0.1,NA,8,0.0518189820069812,0.382992252255728,0.105756896776029,-0.0810707926476107,0.847055297159067
"9","matching","A1","drs",50000,4,0.01,0.1,NA,9,0.122521005316193,0.271933715483639,0.246496004456034,-0.187967244942965,0.731834675910244
"10","matching","A1","drs",50000,4,0.01,0.1,NA,10,0.5,0,1,-0.417865725535136,0.417865725535136
"11","matching","A1","drs",50000,4,0.01,0.1,NA,11,0.548617587487689,-0.0298529631496445,0.902768417668342,-0.50880173495403,0.449095808654741
"12","matching","A1","drs",50000,4,0.01,0.1,NA,12,0.248452923782384,0.154150679827258,0.497331740144447,-0.291012767367531,0.599314127022047
"13","matching","A1","drs",50000,4,0.01,0.1,NA,13,0.884001138185633,-0.287682072451776,0.233607679985289,-0.761058347600651,0.1856942026971
"14","matching","A1","drs",50000,4,0.01,0.1,NA,14,0.0898562474394999,0.302280871872922,0.181370738420356,-0.140995630238917,0.745557373984762
"15","matching","A1","drs",50000,4,0.01,0.1,NA,15,0.729349635976388,-0.149531733970964,0.541677341070841,-0.629766276603759,0.330702808661831
"16","matching","A1","drs",50000,4,0.01,0.1,NA,16,0.112626453180327,0.296265816143164,0.22694941704732,-0.184320327420793,0.776851959707121
"17","matching","A1","drs",50000,4,0.01,0.1,NA,17,0.867855827386986,-0.278713402469017,0.265834032488099,-0.769649415867957,0.212222610929922
"18","matching","A1","drs",50000,4,0.01,0.1,NA,18,0.878192305835041,-0.248461359298499,0.244827932988978,-0.667183367956086,0.170260649359088
"19","matching","A1","drs",50000,4,0.01,0.1,NA,19,0.814942550041377,-0.230523658611832,0.371173850965212,-0.735756610407232,0.274709293183568
"20","matching","A1","drs",50000,4,0.01,0.1,NA,20,0.670656291296058,-0.0976384694175226,0.658814372853299,-0.531038049208586,0.33576111037354
"21","matching","A1","drs",50000,4,0.01,0.1,NA,21,0.980526272128987,-0.482851771712155,0.040872664448293,-0.945666274145346,-0.0200372692789638
"22","matching","A1","drs",50000,4,0.01,0.1,NA,22,0.251167477180251,0.150282203049338,0.502736967075146,-0.289216901630252,0.589781307728927
"23","matching","A1","drs",50000,4,0.01,0.1,NA,23,0.748832522819749,-0.150282203049338,0.502736967075146,-0.589781307728927,0.289216901630252
"24","matching","A1","drs",50000,4,0.01,0.1,NA,24,0.5,0,1,-0.43288362772899,0.43288362772899
