"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","r.penalty","seed","mh_pval","clog_coef","clog_pval","clog_lower","clog_upper"
"1","matching","A1","mhl",50000,4,0.01,0.1,NA,1,0.281851430825387,0.133531392624523,0.563992449582763,-0.320112120304847,0.587174905553893
"2","matching","A1","mhl",50000,4,0.01,0.1,NA,2,0.966771289991534,-0.427444014825033,0.0685418355534958,-0.887399014492719,0.0325109848426542
"3","matching","A1","mhl",50000,4,0.01,0.1,NA,3,0.212515326392464,0.182321556793955,0.425671630845547,-0.26625315444172,0.630896268029629
"4","matching","A1","mhl",50000,4,0.01,0.1,NA,4,0.281851430825387,0.133531392624523,0.563992449582763,-0.320112120304847,0.587174905553893
"5","matching","A1","mhl",50000,4,0.01,0.1,NA,5,0.871241008875469,-0.257829109302099,0.258835872539891,-0.705366778387165,0.189708559782968
"6","matching","A1","mhl",50000,4,0.01,0.1,NA,6,0.265807288440806,0.130620182417065,0.531906239222217,-0.278932464300943,0.540172829135072
"7","matching","A1","mhl",50000,4,0.01,0.1,NA,7,0.547911251250612,-0.0289875368732227,0.904180836136685,-0.500940976597035,0.442965902850589
"8","matching","A1","mhl",50000,4,0.01,0.1,NA,8,0.641009166633112,-0.0870113769242422,0.71806681349463,-0.559361916793128,0.385339162944644
"9","matching","A1","mhl",50000,4,0.01,0.1,NA,9,0.679030889797469,-0.108213584339745,0.642100649121813,-0.564563132846726,0.348135964167237
"10","matching","A1","mhl",50000,4,0.01,0.1,NA,10,0.68618709748582,-0.117783035112988,0.627824626665626,-0.593968689667143,0.358402619441167
"11","matching","A1","mhl",50000,4,0.01,0.1,NA,11,0.549356113409984,-0.0307716586667083,0.901291647731029,-0.517036433453067,0.45549311611965
"12","matching","A1","mhl",50000,4,0.01,0.1,NA,12,0.409272904191022,0.0526437334834784,0.818566394901903,-0.397158618100485,0.502446085067442
"13","matching","A1","mhl",50000,4,0.01,0.1,NA,13,0.295959831700489,0.115069329323101,0.592123992203947,-0.305886834589627,0.536025493235828
"14","matching","A1","mhl",50000,4,0.01,0.1,NA,14,0.979175671255476,-0.443931388932632,0.0433437163530618,-0.874587212147521,-0.0132755657177432
"15","matching","A1","mhl",50000,4,0.01,0.1,NA,15,0.5,0,1,-0.43288362772899,0.43288362772899
"16","matching","A1","mhl",50000,4,0.01,0.1,NA,16,0.864230432061715,-0.27029032973991,0.272997768434061,-0.753565736586284,0.212985077106464
"17","matching","A1","mhl",50000,4,0.01,0.1,NA,17,0.670656291296058,-0.0976384694175228,0.658814372853299,-0.531038049208586,0.33576111037354
"18","matching","A1","mhl",50000,4,0.01,0.1,NA,18,0.82711070692442,-0.22314355131421,0.346778749139667,-0.687989825542631,0.241702722914211
"19","matching","A1","mhl",50000,4,0.01,0.1,NA,19,0.350448222928233,0.0984400726582437,0.701011362459051,-0.404063345648618,0.600943490965106
"20","matching","A1","mhl",50000,4,0.01,0.1,NA,20,0.212515326392464,0.182321556793954,0.425671630845548,-0.26625315444172,0.630896268029629
"21","matching","A1","mhl",50000,4,0.01,0.1,NA,21,0.894548536971695,-0.26236426446749,0.212212240508293,-0.67456649469875,0.14983796576377
"22","matching","A1","mhl",50000,4,0.01,0.1,NA,22,0.880703585341782,-0.279584862219158,0.240122107915864,-0.746074030423426,0.186904305985109
"23","matching","A1","mhl",50000,4,0.01,0.1,NA,23,0.0728050476984335,0.356674943938601,0.147748929029984,-0.126265454453665,0.839615342330867
"24","matching","A1","mhl",50000,4,0.01,0.1,NA,24,0.877478994683807,-0.27193371548364,0.246496004456034,-0.731834675910244,0.187967244942965
"25","matching","A1","mhl",50000,4,0.01,0.1,NA,25,0.458705630096021,0.0215062052209595,0.917412846086169,-0.384994890424136,0.428007300866055
"26","matching","A1","mhl",50000,4,0.01,0.1,NA,26,0.0518189820069812,0.382992252255728,0.10575689677603,-0.081070792647611,0.847055297159067
"27","matching","A1","mhl",50000,4,0.01,0.1,NA,27,0.998808191882581,-0.712195372353263,0.00293491105657366,-1.18148075572763,-0.242909988978898
"28","matching","A1","mhl",50000,4,0.01,0.1,NA,28,0.875568062531039,-0.242946178610389,0.250027593771244,-0.656901722711139,0.171009365490361
"29","matching","A1","mhl",50000,4,0.01,0.1,NA,29,0.674693518033623,-0.102654153852275,0.650756129844372,-0.54708337087779,0.34177506317324
"30","matching","A1","mhl",50000,4,0.01,0.1,NA,30,0.360907365219754,0.0845573879745342,0.721894148059995,-0.38106831399134,0.550183089940408
"31","matching","A1","mhl",50000,4,0.01,0.1,NA,31,0.545963722372012,-0.0266682470821448,0.908075267213719,-0.479342780237397,0.426006286073107
"32","matching","A1","mhl",50000,4,0.01,0.1,NA,32,0.751547076217616,-0.154150679827259,0.497331740144446,-0.599314127022048,0.29101276736753
"33","matching","A1","mhl",50000,4,0.01,0.1,NA,33,0.930175300694785,-0.367724780125111,0.14188479512847,-0.858413272693108,0.122963712442887
"34","matching","A1","mhl",50000,4,0.01,0.1,NA,34,0.276459812485524,0.141078598259905,0.553248736372826,-0.325289137168427,0.607446333688238
"35","matching","A1","mhl",50000,4,0.01,0.1,NA,35,0.191366544442613,0.191055236762709,0.38345642579611,-0.238596943448365,0.620707416973783
"36","matching","A1","mhl",50000,4,0.01,0.1,NA,36,0.258817059291673,0.139761942375159,0.51797479055617,-0.283967269363033,0.56349115411335
"37","matching","A1","mhl",50000,4,0.01,0.1,NA,37,0.370967200424177,0.0723206615616938,0.741988629536548,-0.358228664487346,0.502869987610733
"38","matching","A1","mhl",50000,4,0.01,0.1,NA,38,0.725746882249926,-0.120144311217787,0.548746661486704,-0.512844605971187,0.272555983535613
"39","matching","A1","mhl",50000,4,0.01,0.1,NA,39,0.286872733897933,0.12675170473155,0.574001870469327,-0.315160635686225,0.568664045149326
"40","matching","A1","mhl",50000,4,0.01,0.1,NA,40,0.790538279526808,-0.187211542088147,0.41960241792813,-0.641830284046172,0.267407199869878
"41","matching","A1","mhl",50000,4,0.01,0.1,NA,41,0.952867846579395,-0.405465108107289,0.0965303400398313,-0.883647356979531,0.0727171407649531
"42","matching","A1","mhl",50000,4,0.01,0.1,NA,42,0.286872733897933,0.12675170473155,0.574001870469327,-0.315160635686225,0.568664045149326
"43","matching","A1","mhl",50000,4,0.01,0.1,NA,43,0.146085649658413,0.247836163904581,0.29340591771307,-0.21448375317081,0.710156080979972
"44","matching","A1","mhl",50000,4,0.01,0.1,NA,44,0.583485553140239,-0.0444517625702389,0.8330424375148,-0.457750512449084,0.368846987308607
"45","matching","A1","mhl",50000,4,0.01,0.1,NA,45,0.110811801229697,0.273293334999679,0.223061798264674,-0.166326888225393,0.712913558224751
"46","matching","A1","mhl",50000,4,0.01,0.1,NA,46,0.665092321200292,-0.0909717781164563,0.669922457618794,-0.509269853197884,0.327326296964971
"47","matching","A1","mhl",50000,4,0.01,0.1,NA,47,0.890822654717049,-0.305381649551169,0.220144165905078,-0.793527098653326,0.182763799550988
"48","matching","A1","mhl",50000,4,0.01,0.1,NA,48,0.820602321056529,-0.211309093667207,0.359688996345287,-0.663467681129851,0.240849493795438
"49","matching","A1","mhl",50000,4,0.01,0.1,NA,49,0.915665690556092,-0.31845373111851,0.170470010533941,-0.773812348512749,0.136904886275729
"50","matching","A1","mhl",50000,4,0.01,0.1,NA,50,0.713127266102067,-0.126751704731551,0.574001870469327,-0.568664045149326,0.315160635686225
"51","counter-matching","A1","mhl",50000,4,0.01,0.1,1,1,0.258817059291673,0.139761942375159,0.517974790556169,-0.283967269363033,0.56349115411335
"52","counter-matching","A1","mhl",50000,4,0.01,0.1,1,2,0.874325445594889,-0.264692554227081,0.252732772437154,-0.718282781960645,0.188897673506483
"53","counter-matching","A1","mhl",50000,4,0.01,0.1,1,3,0.0610472890587043,0.34484048629165,0.123948999748055,-0.0944936406088031,0.784174613192103
"54","counter-matching","A1","mhl",50000,4,0.01,0.1,1,4,0.196884317321496,0.182321556793955,0.39442346045015,-0.237281663659783,0.601924777247692
"55","counter-matching","A1","mhl",50000,4,0.01,0.1,1,5,0.959434681755526,-0.36179004460534,0.082796258224954,-0.770564338148029,0.0469842489373481
"56","counter-matching","A1","mhl",50000,4,0.01,0.1,1,6,0.5,0,1,-0.377195244692057,0.377195244692057
"57","counter-matching","A1","mhl",50000,4,0.01,0.1,1,7,0.952353580988272,-0.351397886837783,0.0970022689095973,-0.766402884285236,0.0636071106096704
"58","counter-matching","A1","mhl",50000,4,0.01,0.1,1,8,0.704040168299511,-0.115069329323101,0.592123992203945,-0.536025493235828,0.305886834589626
"59","counter-matching","A1","mhl",50000,4,0.01,0.1,1,9,0.927800103893464,-0.306730267422461,0.145975498263273,-0.720226699363292,0.106766164518369
"60","counter-matching","A1","mhl",50000,4,0.01,0.1,1,10,0.948129160881729,-0.356674943938601,0.105579396885097,-0.788629967892976,0.0752800800157742
"61","counter-matching","A1","mhl",50000,4,0.01,0.1,1,11,0.455764118954689,0.0246926125903619,0.911530476279586,-0.410888135486569,0.460273360667293
"62","counter-matching","A1","mhl",50000,4,0.01,0.1,1,12,0.256345380130962,0.143100843640673,0.513050328830557,-0.285693624247314,0.571895311528661
"63","counter-matching","A1","mhl",50000,4,0.01,0.1,1,13,0.0743709300429215,0.300104592450327,0.150268080033231,-0.108765309629177,0.708974494529832
"64","counter-matching","A1","mhl",50000,4,0.01,0.1,1,14,0.950556545610358,-0.343771539102748,0.10055358253578,-0.754068565598386,0.0665254873928896
"65","counter-matching","A1","mhl",50000,4,0.01,0.1,1,15,0.457310693949844,0.0229895182246932,0.91462326085042,-0.397298637607174,0.44327767405656
"66","counter-matching","A1","mhl",50000,4,0.01,0.1,1,16,0.723540187514476,-0.141078598259906,0.553248736372824,-0.607446333688238,0.325289137168427
"67","counter-matching","A1","mhl",50000,4,0.01,0.1,1,17,0.841344746068543,-0.200670695462151,0.318122222569903,-0.594638279663927,0.193296888739624
"68","counter-matching","A1","mhl",50000,4,0.01,0.1,1,18,0.585375770408527,-0.046520015634075,0.829263617919505,-0.469331069821547,0.376291038553397
"69","counter-matching","A1","mhl",50000,4,0.01,0.1,1,19,0.706203076022171,-0.117783035112988,0.587809698259591,-0.543696432510317,0.308130362284341
"70","counter-matching","A1","mhl",50000,4,0.01,0.1,1,20,0.116411675845827,0.260283098263666,0.234142219753113,-0.168498435233179,0.68906463176051
"71","counter-matching","A1","mhl",50000,4,0.01,0.1,1,21,0.827276234765387,-0.198450938723838,0.346238737405948,-0.611395600866102,0.214493723418425
"72","counter-matching","A1","mhl",50000,4,0.01,0.1,1,22,0.854079727428106,-0.22314355131421,0.292841399257467,-0.638914698619113,0.192627595990693
"73","counter-matching","A1","mhl",50000,4,0.01,0.1,1,23,0.031445435653717,0.439366659780987,0.0650251029986706,-0.0273557939708768,0.90608911353285
"74","counter-matching","A1","mhl",50000,4,0.01,0.1,1,24,0.817484864080848,-0.205852054204148,0.365876499810739,-0.652049564225883,0.240345455817586
"75","counter-matching","A1","mhl",50000,4,0.01,0.1,1,25,0.218570921938888,0.151230969723924,0.437578535416753,-0.230595081230983,0.53305702067883
"76","counter-matching","A1","mhl",50000,4,0.01,0.1,1,26,0.0196591845408693,0.454736157110207,0.0410336743100784,0.0185228478893547,0.89094946633106
"77","counter-matching","A1","mhl",50000,4,0.01,0.1,1,27,0.998943931074195,-0.676340060725311,0.00255984263707897,-1.11583761338983,-0.236842508060792
"78","counter-matching","A1","mhl",50000,4,0.01,0.1,1,28,0.814749009211984,-0.178691788743376,0.371138336094363,-0.570297049425249,0.212913471938498
"79","counter-matching","A1","mhl",50000,4,0.01,0.1,1,29,0.906574146328739,-0.269663566949101,0.188187764561754,-0.671295252807455,0.131968118909254
"80","counter-matching","A1","mhl",50000,4,0.01,0.1,1,30,0.0614376942396655,0.370373788296665,0.125021524785866,-0.102835893049699,0.843583469643028
"81","counter-matching","A1","mhl",50000,4,0.01,0.1,1,31,0.894548536971695,-0.26236426446749,0.212212240508293,-0.67456649469875,0.14983796576377
"82","counter-matching","A1","mhl",50000,4,0.01,0.1,1,32,0.751547076217616,-0.154150679827258,0.497331740144447,-0.599314127022047,0.291012767367531
"83","counter-matching","A1","mhl",50000,4,0.01,0.1,1,33,0.639092634780246,-0.0845573879745342,0.721894148059995,-0.550183089940408,0.38106831399134
"84","counter-matching","A1","mhl",50000,4,0.01,0.1,1,34,0.542689306050156,-0.0229895182246927,0.914623260850422,-0.44327767405656,0.397298637607175
"85","counter-matching","A1","mhl",50000,4,0.01,0.1,1,35,0.34308392492762,0.0816780309722593,0.686250426995378,-0.314624742638868,0.477980804583387
"86","counter-matching","A1","mhl",50000,4,0.01,0.1,1,36,0.170042304091532,0.20294084399669,0.340912939364732,-0.214711630324999,0.620593318318379
