"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","r.penalty","seed","mh_pval","clog_coef","clog_pval","clog_lower","clog_upper"
"1","matching","A1","drs",50000,4,0.01,0.1,NA,1,0.544789999745099,-0.0253178079842783,0.910422382888185,-0.46637949827002,0.415743882301463
"2","matching","A1","drs",50000,4,0.01,0.1,NA,2,0.871241008875469,-0.257829109302098,0.258835872539892,-0.705366778387165,0.189708559782968
"3","matching","A1","drs",50000,4,0.01,0.1,NA,3,0.672639576990711,-0.100083458382946,0.65485556600675,-0.538893584576679,0.338726667810787
"4","matching","A1","drs",50000,4,0.01,0.1,NA,4,0.787484673607536,-0.182321556793954,0.425671630845547,-0.630896268029629,0.26625315444172
"5","matching","A1","drs",50000,4,0.01,0.1,NA,5,0.356992897834691,0.0896121586093415,0.714077267364457,-0.389764055288899,0.568988372507582
"6","matching","A1","drs",50000,4,0.01,0.1,NA,6,0.121807694164959,0.248461359298499,0.244827932988978,-0.170260649359088,0.667183367956086
"7","matching","A1","drs",50000,4,0.01,0.1,NA,7,0.720795305755376,-0.137201121513485,0.558717854355886,-0.597073959461057,0.322671716434087
"8","counter-matching","A1","drs",50000,4,0.01,0.1,1,1,0.333113822704809,0.0930904229611451,0.666340847978559,-0.330064240428038,0.516245086350328
"9","counter-matching","A1","drs",50000,4,0.01,0.1,1,2,0.899587438652427,-0.274436845701758,0.202238898352175,-0.696242722866949,0.147369031463433
"10","counter-matching","A1","drs",50000,4,0.01,0.1,1,3,0.620880268192544,-0.0631789016145654,0.758278414176215,-0.465555706553116,0.339197903323985
"11","counter-matching","A1","drs",50000,4,0.01,0.1,1,4,0.738784357519218,-0.136575535005751,0.522754420227274,-0.555415938949369,0.282264868937867
"12","counter-matching","A1","drs",50000,4,0.01,0.1,1,5,0.5,0,1,-0.43288362772899,0.43288362772899
"13","counter-matching","A1","drs",50000,4,0.01,0.1,1,6,0.0765209420794101,0.293761118528156,0.154520532013917,-0.110638218030039,0.69816045508635
"14","counter-matching","A1","drs",50000,4,0.01,0.1,1,7,0.892087359641995,-0.256719846847813,0.217086210712711,-0.664364879548252,0.150925185852626
"15","matching","A2","drs",50000,4,0.01,0.1,NA,1,0.165987733541368,0.23638877806423,0.333100620184117,-0.242296555901293,0.715074112029754
"16","matching","A2","drs",50000,4,0.01,0.1,NA,2,0.975232693282187,-0.43531807125535,0.0513504983696862,-0.873188560128064,0.00255241761736347
"17","matching","A2","drs",50000,4,0.01,0.1,NA,3,0.5,0,1,-0.443844441489047,0.443844441489047
"18","matching","A2","drs",50000,4,0.01,0.1,NA,4,0.308537538725987,0.125163142122991,0.617304801438723,-0.365787680572668,0.61611396481865
"19","matching","A2","drs",50000,4,0.01,0.1,NA,5,0.154814451365316,0.259511195485083,0.310985834772534,-0.242516910225989,0.761539301196155
"20","matching","A2","drs",50000,4,0.01,0.1,NA,6,4.80829413443962e-05,0.962810747509037,0.000174450484925562,0.46004706908741,1.46557442593066
"21","matching","A2","drs",50000,4,0.01,0.1,NA,7,0.999998915521226,-0.989412996703095,5.38583078221167e-06,-1.41569174274316,-0.563134250663026
"22","counter-matching","A2","drs",50000,4,0.01,0.1,1,1,0.188495996618563,0.195744577126095,0.377753362986362,-0.239213998994772,0.630703153246962
"23","counter-matching","A2","drs",50000,4,0.01,0.1,1,2,0.632139931686375,-0.0759859069525791,0.735781329065461,-0.517330601239178,0.36535878733402
"24","counter-matching","A2","drs",50000,4,0.01,0.1,1,3,0.5,0,1,-0.408680741809339,0.408680741809339
