"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","r.penalty","seed","mh_pval","clog_coef","clog_pval","clog_lower","clog_upper"
"1","matching","A1","ps",50000,4,0.01,0.1,NA,1,0.808633455557387,-0.191055236762709,0.38345642579611,-0.620707416973783,0.238596943448365
"2","matching","A1","ps",50000,4,0.01,0.1,NA,2,0.995239054407951,-0.63127177627837,0.0107670537889805,-1.1164434151702,-0.146100137386541
"3","matching","A1","ps",50000,4,0.01,0.1,NA,3,0.701943667138338,-0.112477983032969,0.59630631560212,-0.528646784901319,0.303690818835382
"4","matching","A1","ps",50000,4,0.01,0.1,NA,4,0.456298168061577,0.0240975515790517,0.912598442383703,-0.406201673184981,0.454396776343084
"5","matching","A1","ps",50000,4,0.01,0.1,NA,5,0.915665690556092,-0.31845373111851,0.170470010533941,-0.77381234851275,0.136904886275729
"6","matching","A1","ps",50000,4,0.01,0.1,NA,6,0.0498341432918782,0.365459773494277,0.101560107719245,-0.0720115989991258,0.802931145987679
"7","matching","A1","ps",50000,4,0.01,0.1,NA,7,0.594464935333046,-0.0571584138364919,0.811095359622493,-0.525870769578578,0.411553941905594
"8","counter-matching","A1","ps",50000,4,0.01,0.1,1,1,0.938171144798583,-0.298492988555987,0.125054282394805,-0.679896957596579,0.0829109804846055
"9","counter-matching","A1","ps",50000,4,0.01,0.1,1,2,0.982618618688886,-0.478035800933132,0.0365152341224577,-0.926084015846908,-0.0299875860193551
"10","counter-matching","A1","ps",50000,4,0.01,0.1,1,3,0.143211011388929,0.22825865198098,0.287467847216013,-0.192331484505884,0.648848788467843
"11","counter-matching","A1","ps",50000,4,0.01,0.1,1,4,0.579259709439103,-0.0400053346134148,0.841491011236719,-0.432076553608217,0.352065884381387
"12","counter-matching","A1","ps",50000,4,0.01,0.1,1,5,0.91352254100579,-0.287682072451775,0.174437582022912,-0.702860530720787,0.127496385817236
"13","counter-matching","A1","ps",50000,4,0.01,0.1,1,6,0.0743709300429215,0.300104592450328,0.150268080033231,-0.108765309629177,0.708974494529832
"14","counter-matching","A1","ps",50000,4,0.01,0.1,1,7,0.589576380729036,-0.0512932943859306,0.820866543326718,-0.495283713330483,0.392697124558621
"15","matching","A2","ps",50000,4,0.01,0.1,NA,1,0.975592744067084,-0.414433778089715,0.0504440958814195,-0.829669482613105,0.000801926433674049
"16","matching","A2","ps",50000,4,0.01,0.1,NA,2,0.999973739051778,-0.893817876022096,9.13214713103342e-05,-1.34156800069429,-0.446067751349897
"17","matching","A2","ps",50000,4,0.01,0.1,NA,3,0.951445138870482,-0.326684230255014,0.0986006808515902,-0.7143446706587,0.0609762101486713
