"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","r.penalty","seed","mh_pval","clog_coef","clog_pval","clog_lower","clog_upper"
"1","matching","A1","mhl",20000,2,0.01,0.1,NA,1,0.0385499358717709,0.64662716412855,0.0823270855097586,-0.0828590520063401,1.37611338026344
"2","matching","A1","mhl",20000,2,0.01,0.1,NA,2,0.0523787449248654,0.538996500675662,0.108991489584292,-0.120132242403363,1.19812524375469
"3","matching","A1","mhl",20000,2,0.01,0.1,NA,3,0.0169474267623446,0.78845736036427,0.038700937446144,0.0409564261532031,1.53595829457534
"4","matching","A1","mhl",20000,2,0.01,0.1,NA,4,0.5,0,1,-0.590951376302663,0.590951376302663
"5","matching","A1","mhl",20000,2,0.01,0.1,NA,5,0.56205197103853,-0.0487901641682904,0.875908266798053,-0.661162233701136,0.563581905364555
"6","matching","A1","mhl",20000,2,0.01,0.1,NA,6,0.0314895256072276,0.650587565271534,0.0677075307068197,-0.047367674685778,1.34854280522885
"7","matching","A1","mhl",20000,2,0.01,0.1,NA,7,0.171390855573956,0.302280871872922,0.344617505634131,-0.324606769294946,0.929168513040791
"8","counter-matching","A1","mhl",20000,2,0.01,0.1,1,1,0.0429063903252761,0.550046336842643,0.0898017354221931,-0.0854421924678255,1.18553486615311
"9","counter-matching","A1","mhl",20000,2,0.01,0.1,1,2,0.0744573365893828,0.422856850818407,0.15194991730332,-0.155629225470063,1.00134292710688
"10","counter-matching","A1","mhl",20000,2,0.01,0.1,1,3,0.0288897855617987,0.619039207981312,0.0618448507322364,-0.0306825262177201,1.26876094218034
"11","counter-matching","A1","mhl",20000,2,0.01,0.1,1,4,0.29310684053657,0.148420005118273,0.586557252415348,-0.3864841452611,0.683324155497647
"12","counter-matching","A1","mhl",20000,2,0.01,0.1,1,5,0.211669820791222,0.257829109302098,0.424622493681964,-0.375084731990845,0.890742950595042
"13","counter-matching","A1","mhl",20000,2,0.01,0.1,1,6,0.00231034198168001,0.900786545338188,0.00616615311352958,0.256160746515509,1.54541234416087
"14","counter-matching","A1","mhl",20000,2,0.01,0.1,1,7,0.0617426360722745,0.438254930928401,0.126500121934431,-0.12387580787577,1.00038566973257
"15","matching","A2","mhl",20000,2,0.01,0.1,NA,1,1.70708678859377e-07,20.2028947843261,0.996628398929761,-9350.3297729988,9390.73556256745
"16","matching","A2","mhl",20000,2,0.01,0.1,NA,2,0.171390855573956,0.302280871872922,0.344617505634131,-0.324606769294946,0.929168513040791
