"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","r.penalty","seed","mh_pval","clog_coef","clog_pval","clog_lower","clog_upper"
"1","matching","A1","drs",20000,2,0.01,0.1,NA,1,0.0799268374188137,0.446287102624822,0.163327656439192,-0.181207542070124,1.07378174731977
"2","matching","A1","drs",20000,2,0.01,0.1,NA,2,0.142875315186512,0.328504066971997,0.287915690769884,-0.277361208279204,0.934369342223198
"3","matching","A1","drs",20000,2,0.01,0.1,NA,3,0.102951605366034,0.405465108107288,0.209011683808608,-0.227110547833486,1.03804076404806
"4","matching","A1","drs",20000,2,0.01,0.1,NA,4,0.00570601819300087,0.847297860387203,0.0140609506843668,0.171046038745953,1.52354968202845
"5","matching","A1","drs",20000,2,0.01,0.1,NA,5,0.0015021311196991,1.00330210886375,0.00442158536030582,0.312453242243508,1.69415097548399
"6","matching","A1","drs",20000,2,0.01,0.1,NA,6,0.00815458593887752,0.810930216216329,0.0194210108261464,0.13093181841713,1.49092861401553
"7","matching","A1","drs",20000,2,0.01,0.1,NA,7,0.14835876316103,0.313657558855022,0.298696334419487,-0.277891643980185,0.905206761690229
"8","counter-matching","A1","drs",20000,2,0.01,0.1,1,1,0.082758929348735,0.38946476676124,0.168195666697984,-0.164470822439544,0.943400355962024
"9","counter-matching","A1","drs",20000,2,0.01,0.1,1,2,0.0237126927543706,0.624154308594503,0.0510970706004284,-0.00297583143863289,1.25128444862764
"10","counter-matching","A1","drs",20000,2,0.01,0.1,1,3,0.084955920865746,0.42488319396352,0.173129249858197,-0.186440437269225,1.03620682519627
"11","counter-matching","A1","drs",20000,2,0.01,0.1,1,4,0.0126736593387341,0.693147178402484,0.0283850064748317,0.0733521463207865,1.31294221048418
"12","counter-matching","A1","drs",20000,2,0.01,0.1,1,5,0.0160622856038283,0.632522558163716,0.0350701249009674,0.0442932202278541,1.22075189609958
"13","counter-matching","A1","drs",20000,2,0.01,0.1,1,6,0.021654071405396,0.600773860153303,0.0465189713509752,0.00926207466711326,1.19228564563949
"14","counter-matching","A1","drs",20000,2,0.01,0.1,1,7,0.0701843303858366,0.441832752275934,0.143605734675638,-0.150289985683982,1.03395549023585
"15","matching","A2","drs",20000,2,0.01,0.1,NA,1,0.277673158335711,0.174353387144778,0.555846871688523,-0.40580604209602,0.754512816385576
"16","matching","A2","drs",20000,2,0.01,0.1,NA,2,0.82738446411408,-0.2559333741372,0.346546715976483,-0.788829997010335,0.276963248735936
"17","matching","A2","drs",20000,2,0.01,0.1,NA,3,0.000797496808475295,1.34373474660944,0.00337591939975405,0.445256541272877,2.242212951946
"18","matching","A2","drs",20000,2,0.01,0.1,NA,4,0.0467239110793072,0.52324814372754,0.0972166906698557,-0.0951105134513363,1.14160680090642
"19","matching","A2","drs",20000,2,0.01,0.1,NA,5,3.167124183312e-05,1.6094379038683,0.000319673473177333,0.732915365794422,2.48596044194217
"20","matching","A2","drs",20000,2,0.01,0.1,NA,6,0.00259672986903736,0.993251773010259,0.00729384461794758,0.267702233221481,1.71880131279904
"21","matching","A2","drs",20000,2,0.01,0.1,NA,7,0.188172246749328,0.26236426446749,0.377712172058784,-0.320577719965996,0.845306248900975
"22","counter-matching","A2","drs",20000,2,0.01,0.1,1,1,0.0448430108851823,0.489548225304721,0.0929130326967041,-0.0815034971051998,1.06059994771464
"23","counter-matching","A2","drs",20000,2,0.01,0.1,1,2,0.124106539494962,0.336472236621157,0.250444053977043,-0.237346462025581,0.910290935267896
"24","counter-matching","A2","drs",20000,2,0.01,0.1,1,3,0.084955920865746,0.42488319396352,0.173129249858197,-0.186440437269226,1.03620682519627
"25","counter-matching","A2","drs",20000,2,0.01,0.1,1,4,0.0580415668693275,0.456758402490656,0.119268559655008,-0.117898600033914,1.03141540501523
"26","counter-matching","A2","drs",20000,2,0.01,0.1,1,5,0.00128441576351135,0.980829253011708,0.00376075824010551,0.317378307923931,1.64428019809949
"27","counter-matching","A2","drs",20000,2,0.01,0.1,1,6,0.0143357163533645,0.66139848114339,0.0316663057008565,0.0580667294185477,1.26473023286823
"28","counter-matching","A2","drs",20000,2,0.01,0.1,1,7,0.158655253931457,0.287682072451776,0.318978162932257,-0.27811079458631,0.853474939489862
"29","matching","A1","drs",20000,2,0.01,0.5,NA,1,0.0343894066659761,0.352220593589242,0.0702187943549769,-0.0290779058102745,0.733519092988759
"30","matching","A1","drs",20000,2,0.01,0.5,NA,2,0.00178496361159231,0.581921545276031,0.00406405712252719,0.184954212778428,0.978888877773635
"31","matching","A1","drs",20000,2,0.01,0.5,NA,3,0.0131303170588978,0.456758402490656,0.0275852989258012,0.0504145391491979,0.863102265832114
"32","matching","A1","drs",20000,2,0.01,0.5,NA,4,0.048554861129518,0.326684230255014,0.09860068085159,-0.0609762101486716,0.7143446706587
"33","matching","A1","drs",20000,2,0.01,0.5,NA,5,0.0565700040760032,0.316337328212135,0.114646098853411,-0.076658502785138,0.709333159209408
"34","matching","A1","drs",20000,2,0.01,0.5,NA,6,0.238621966169008,0.144581228811108,0.477627465232197,-0.254467589832992,0.543630047455208
"35","matching","A1","drs",20000,2,0.01,0.5,NA,7,0.015598354866467,0.449525097898193,0.0326370374058416,0.0371475281849289,0.861902667611458
"36","counter-matching","A1","drs",20000,2,0.01,0.5,1,1,0.0177789528499604,0.330241686870534,0.0364004353503906,0.0209060887075674,0.639577285033501
"37","counter-matching","A1","drs",20000,2,0.01,0.5,1,2,1.13675333157648e-06,0.754840749565286,3.89217335930151e-06,0.434407157062477,1.07527434206809
"38","counter-matching","A1","drs",20000,2,0.01,0.5,1,3,0.000952675763446487,0.491594261823238,0.00211521387099153,0.178111800524634,0.805076723121843
"39","counter-matching","A1","drs",20000,2,0.01,0.5,1,4,0.0015021311196991,0.47198579044154,0.00328279434507335,0.157327590825395,0.786643990057684
"40","counter-matching","A1","drs",20000,2,0.01,0.5,1,5,0.0293908606776795,0.287682072451774,0.0596568456875182,-0.0117073714996269,0.587071516403176
"41","counter-matching","A1","drs",20000,2,0.01,0.5,1,6,0.0438616859359111,0.266628663253947,0.0886647287349802,-0.0403243916758528,0.573581718183747
"42","counter-matching","A1","drs",20000,2,0.01,0.5,1,7,0.0119838399112946,0.355203273327152,0.0247154185774098,0.0452118061294679,0.665194740524836
"43","matching","A2","drs",20000,2,0.01,0.5,NA,1,0.247262333941935,0.133531392624523,0.494845230598268,-0.249867352457725,0.516930137706771
"44","matching","A2","drs",20000,2,0.01,0.5,NA,2,0.00525762296792942,0.559615787836946,0.0115590672383511,0.125285191306387,0.993946384367505
"45","matching","A2","drs",20000,2,0.01,0.5,NA,3,0.000299060184452138,0.679541526879634,0.0007590776251689,0.284009056836924,1.07507399692234
"46","matching","A2","drs",20000,2,0.01,0.5,NA,4,0.000196496513207411,0.775838896405059,0.000545458434118255,0.336021168133756,1.21565662467636
"47","matching","A2","drs",20000,2,0.01,0.5,NA,5,0.5,0,1,-0.42769920564486,0.42769920564486
"48","matching","A2","drs",20000,2,0.01,0.5,NA,6,0.0260339630079132,0.381934610697608,0.0535059778778352,-0.0057660321706412,0.769635253565857
"49","matching","A2","drs",20000,2,0.01,0.5,NA,7,0.061906111910666,0.31845373111851,0.125403103453316,-0.0888313979350253,0.725738860172045
