"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","r.penalty","seed","mh_pval","clog_coef","clog_pval","clog_lower","clog_upper"
"1","matching","A1","mhl",20000,2,0.01,0.1,NA,1,0.128419628978928,0.435318071255351,0.260593467376932,-0.323095862607212,1.19373200511791
"2","matching","A1","mhl",20000,2,0.01,0.1,NA,2,0.00793066636988649,0.762140052046897,0.0185383388343803,0.127759611679812,1.39652049241398
"3","matching","A1","mhl",20000,2,0.01,0.1,NA,3,0.118361785318929,0.405465108107289,0.239934898753271,-0.270786713533903,1.08171692974848
"4","matching","A1","mhl",20000,2,0.01,0.1,NA,4,0.0569231490033291,0.510825623739934,0.117799332316205,-0.129295933105356,1.15094718058522
"5","matching","A1","mhl",20000,2,0.01,0.1,NA,5,0.084955920865746,0.42488319396352,0.173129249858197,-0.186440437269226,1.03620682519627
"6","matching","A1","mhl",20000,2,0.01,0.1,NA,6,0.443201503183532,0.0408219945199276,0.886410840066296,-0.519284367721523,0.600928356761379
"7","matching","A1","mhl",20000,2,0.01,0.1,NA,7,0.43794802896147,0.0487901641682898,0.875908266798055,-0.563581905364555,0.661162233701135
"8","counter-matching","A1","mhl",20000,2,0.01,0.1,1,1,0.118361785318929,0.405465108107288,0.239934898753271,-0.270786713533903,1.08171692974848
"9","counter-matching","A1","mhl",20000,2,0.01,0.1,1,2,0.0126736593387341,0.693147178402484,0.0283850064748317,0.0733521463207863,1.31294221048418
"10","counter-matching","A1","mhl",20000,2,0.01,0.1,1,3,0.0429063903252761,0.550046336842643,0.0898017354221931,-0.0854421924678255,1.18553486615311
"11","counter-matching","A1","mhl",20000,2,0.01,0.1,1,4,0.237525262026976,0.204794412646013,0.475821622553569,-0.358133661973922,0.767722487265947
"12","counter-matching","A1","mhl",20000,2,0.01,0.1,1,5,0.0744573365893828,0.422856850818407,0.15194991730332,-0.155629225470063,1.00134292710688
"13","counter-matching","A1","mhl",20000,2,0.01,0.1,1,6,0.257541139354821,0.169899036795397,0.515587391222111,-0.342274606381399,0.682072679972193
"14","counter-matching","A1","mhl",20000,2,0.01,0.1,1,7,0.281851430825387,0.167054084663166,0.564155999839103,-0.400713632592358,0.73482180191869
"15","matching","A2","mhl",20000,2,0.01,0.1,NA,1,0.128419628978928,0.435318071255351,0.260593467376932,-0.323095862607212,1.19373200511791
"16","matching","A2","mhl",20000,2,0.01,0.1,NA,2,0.00273927662127371,0.916290731874152,0.00730469402555841,0.246835583452955,1.58574588029535
"17","matching","A2","mhl",20000,2,0.01,0.1,NA,3,0.151741832012421,0.356674943938601,0.306044423738624,-0.326305917285607,1.03965580516281
"18","matching","A2","mhl",20000,2,0.01,0.1,NA,4,0.0799268374188137,0.446287102624822,0.163327656439192,-0.181207542070124,1.07378174731977
"19","matching","A2","mhl",20000,2,0.01,0.1,NA,5,0.084955920865746,0.42488319396352,0.173129249858197,-0.186440437269226,1.03620682519627
"20","matching","A2","mhl",20000,2,0.01,0.1,NA,6,0.386414996342224,0.083381608890517,0.7728939810751,-0.482903038219881,0.649666256000915
"21","matching","A2","mhl",20000,2,0.01,0.1,NA,7,0.315477020592085,0.154150679827258,0.631291986483812,-0.475405504668371,0.783706864322888
"22","counter-matching","A2","mhl",20000,2,0.01,0.1,1,1,0.118361785318929,0.405465108107288,0.239934898753271,-0.270786713533903,1.08171692974848
"23","counter-matching","A2","mhl",20000,2,0.01,0.1,1,2,0.0126736593387341,0.693147178402484,0.0283850064748317,0.0733521463207865,1.31294221048418
"24","counter-matching","A2","mhl",20000,2,0.01,0.1,1,3,0.0614113240506963,0.485507815769314,0.126517000510869,-0.137259871633285,1.10827550317191
"25","counter-matching","A2","mhl",20000,2,0.01,0.1,1,4,0.285803822476666,0.160342650075179,0.572019423387947,-0.39580139722204,0.716486697372399
"26","counter-matching","A2","mhl",20000,2,0.01,0.1,1,5,0.099271396843331,0.371563556432242,0.201126779789853,-0.198117967140365,0.941245080004849
"27","counter-matching","A2","mhl",20000,2,0.01,0.1,1,6,0.302788308167673,0.133531392624523,0.605844404382647,-0.373657473606416,0.640720258855461
"28","counter-matching","A2","mhl",20000,2,0.01,0.1,1,7,0.232901454620922,0.213574100298059,0.466649912048268,-0.3614693995259,0.788617600122018
"29","matching","A1","mhl",20000,2,0.01,0.5,NA,1,0.0268556429826383,0.396881364416134,0.0552945718298966,-0.00898929571218687,0.802752024544455
"30","matching","A1","mhl",20000,2,0.01,0.5,NA,2,0.0421657479390855,0.354171813720495,0.0859609284661146,-0.0500935507562207,0.758437178197211
"31","matching","A1","mhl",20000,2,0.01,0.5,NA,3,0.0227501319481792,0.405465108107289,0.0469927826181706,0.00538913507771477,0.805541081136863
"32","matching","A1","mhl",20000,2,0.01,0.5,NA,4,3.71974920242435e-05,0.878550403891306,0.00012445902276064,0.429801455045163,1.32729935273745
"33","matching","A1","mhl",20000,2,0.01,0.5,NA,5,0.0530207768500853,0.329479201130202,0.107625837476818,-0.0718786591093194,0.730837061369724
"34","matching","A1","mhl",20000,2,0.01,0.5,NA,6,0.0174042394059336,0.430782916090315,0.0362290098857298,0.027641181958852,0.833924650221779
"35","matching","A1","mhl",20000,2,0.01,0.5,NA,7,0.0244072559329156,0.414433778089715,0.0504440958814195,-0.000801926433674049,0.829669482613104
"36","counter-matching","A1","mhl",20000,2,0.01,0.5,1,1,0.0562052923276818,0.241162056816888,0.113282397414645,-0.0573134614224946,0.53963757505627
"37","counter-matching","A1","mhl",20000,2,0.01,0.5,1,2,0.00107798815181714,0.479573080251543,0.00237635334273879,0.170243662682128,0.788902497820957
"38","counter-matching","A1","mhl",20000,2,0.01,0.5,1,3,0.0119838399112946,0.355203273327152,0.0247154185774099,0.0452118061294677,0.665194740524836
"39","counter-matching","A1","mhl",20000,2,0.01,0.5,1,4,0.000252109114724508,0.564529802626034,0.000597513835239473,0.242204796434054,0.886854808818014
"40","counter-matching","A1","mhl",20000,2,0.01,0.5,1,5,0.00407548579675132,0.405465108107289,0.00859606963585332,0.103036099487736,0.707894116726842
"41","counter-matching","A1","mhl",20000,2,0.01,0.5,1,6,0.00119811698483752,0.481838086881656,0.00263863283390758,0.167772969711102,0.795903204052209
"42","counter-matching","A1","mhl",20000,2,0.01,0.5,1,7,0.000248651832905233,0.55256522985686,0.000585389035079548,0.237581242459078,0.867549217254642
"43","matching","A2","mhl",20000,2,0.01,0.5,NA,1,0.0512352174298747,0.336472236621157,0.104095389777033,-0.0692788563635915,0.742223329605906
"44","matching","A2","mhl",20000,2,0.01,0.5,NA,2,0.0911393183346838,0.275411979859964,0.183661375083906,-0.130583394358827,0.681407354078755
"45","matching","A2","mhl",20000,2,0.01,0.5,NA,3,0.0164940971214781,0.439951284176417,0.0344190923915211,0.0322743371530451,0.84762823119979
"46","matching","A2","mhl",20000,2,0.01,0.5,NA,4,4.43847060427327e-05,0.857450231851221,0.00014361459350118,0.415410777268713,1.29948968643373
"47","matching","A2","mhl",20000,2,0.01,0.5,NA,5,0.0956829363928585,0.264151575041585,0.192657291537874,-0.133257195099457,0.661560345182627
"48","matching","A2","mhl",20000,2,0.01,0.5,NA,6,0.0293408398640863,0.380772495517446,0.0602175244148827,-0.0163653033082642,0.777910294343157
"49","matching","A2","mhl",20000,2,0.01,0.5,NA,7,0.0047657319037,0.551176919210605,0.0104716470895437,0.129165598870734,0.973188239550475
"50","counter-matching","A2","mhl",20000,2,0.01,0.5,1,1,0.0647348885896466,0.230905556649699,0.130322083800665,-0.0682461504288475,0.530057263728246
"51","counter-matching","A2","mhl",20000,2,0.01,0.5,1,2,0.00080567003212928,0.495077266781369,0.00179708666688989,0.184258805015006,0.805895728547731
"52","counter-matching","A2","mhl",20000,2,0.01,0.5,1,3,0.00957478575038306,0.37001835911219,0.0198434081831569,0.0586698814644085,0.681366836759972
"53","counter-matching","A2","mhl",20000,2,0.01,0.5,1,4,0.000252109114724508,0.564529802626034,0.000597513835239473,0.242204796434054,0.886854808818014
"54","counter-matching","A2","mhl",20000,2,0.01,0.5,1,5,0.00407548579675132,0.405465108107289,0.00859606963585332,0.103036099487736,0.707894116726842
"55","counter-matching","A2","mhl",20000,2,0.01,0.5,1,6,0.00141528891773002,0.478035800933132,0.00310322860316533,0.161217869869073,0.794853731997191
"56","counter-matching","A2","mhl",20000,2,0.01,0.5,1,7,0.000295378655932876,0.550046336842642,0.000691596651569958,0.232302072187409,0.867790601497876
"57","matching","A1","mhl",10000,2,0.05,0.1,NA,1,0.0263161512828703,0.594707107508721,0.0561771114735018,-0.0156659534409619,1.2050801684584
"58","matching","A1","mhl",10000,2,0.05,0.1,NA,2,0.0067773330324078,0.802346472524938,0.0162232779698628,0.1481592442589,1.45653370079098
"59","matching","A1","mhl",10000,2,0.05,0.1,NA,3,0.00793066636988649,0.762140052046897,0.0185383388343803,0.127759611679812,1.39652049241398
"60","matching","A1","mhl",10000,2,0.05,0.1,NA,4,0.158655253931457,0.287682072451776,0.318978162932258,-0.27811079458631,0.853474939489861
"61","matching","A1","mhl",10000,2,0.05,0.1,NA,5,0.205539889361658,0.27193371548364,0.412519630553161,-0.378464460100076,0.922331891067356
"62","matching","A1","mhl",10000,2,0.05,0.1,NA,6,0.171390855573956,0.302280871872922,0.344617505634131,-0.324606769294946,0.929168513040791
"63","matching","A1","mhl",10000,2,0.05,0.1,NA,7,0.158655253931457,0.336472236621157,0.319591205169545,-0.326116523638313,0.999060996880627
"64","counter-matching","A1","mhl",10000,2,0.05,0.1,1,1,0.0316454161166726,0.54361544652441,0.0665841104574538,-0.0371877950261827,1.124418688075
"65","counter-matching","A1","mhl",10000,2,0.05,0.1,1,2,0.000118017208264654,1.15267950993684,0.000499516056532295,0.503670580885741,1.80168843898793
"66","counter-matching","A1","mhl",10000,2,0.05,0.1,1,3,0.00194620856138927,0.887303195000902,0.00520309664015845,0.264909429989187,1.50969696001262
"67","counter-matching","A1","mhl",10000,2,0.05,0.1,1,4,0.116615111391093,0.31845373111851,0.235205212090536,-0.20734910954225,0.84425657177927
"68","counter-matching","A1","mhl",10000,2,0.05,0.1,1,5,0.0971829554015545,0.427444014825032,0.19776544787714,-0.223030583786323,1.07791861343639
"69","counter-matching","A1","mhl",10000,2,0.05,0.1,1,6,0.330839957433,0.127833371509885,0.661895853118861,-0.445115245213091,0.70078198823286
"70","counter-matching","A1","mhl",10000,2,0.05,0.1,1,7,0.222882953957421,0.233614851181505,0.446799413143473,-0.368251269637749,0.835480972000758
"71","matching","A2","mhl",10000,2,0.05,0.1,NA,1,0.0110839528764944,0.728238496007252,0.0252404368900218,0.0903874064810041,1.3660895855335
"72","matching","A2","mhl",10000,2,0.05,0.1,NA,2,0.00396596176639763,0.882389180198473,0.0101481981682584,0.209644306077167,1.55513405431978
"73","matching","A2","mhl",10000,2,0.05,0.1,NA,3,0.0194999765062227,0.628608658892203,0.0422966890070594,0.0218634046129035,1.2353539131715
"74","matching","A2","mhl",10000,2,0.05,0.1,NA,4,0.0946277158460087,0.38776553100831,0.192030403949694,-0.194795196363807,0.970326258380428
"75","matching","A2","mhl",10000,2,0.05,0.1,NA,5,0.158655253931457,0.336472236621157,0.319591205169545,-0.326116523638313,0.999060996880627
"76","matching","A2","mhl",10000,2,0.05,0.1,NA,6,0.171390855573956,0.302280871872922,0.344617505634131,-0.324606769294946,0.929168513040791
"77","matching","A2","mhl",10000,2,0.05,0.1,NA,7,0.0850334807269524,0.479573080251543,0.174169192156021,-0.212108524874086,1.17125468537717
"78","counter-matching","A2","mhl",10000,2,0.05,0.1,1,1,0.0316454161166726,0.54361544652441,0.0665841104574538,-0.0371877950261827,1.124418688075
"79","counter-matching","A2","mhl",10000,2,0.05,0.1,1,2,5.73600605232594e-05,1.23969088691704,0.000293703207090949,0.568636082338082,1.910745691496
"80","counter-matching","A2","mhl",10000,2,0.05,0.1,1,3,0.00332094273821326,0.818310323513951,0.00829043152029084,0.210789675573049,1.42583097145485
"81","counter-matching","A2","mhl",10000,2,0.05,0.1,1,4,0.116615111391093,0.31845373111851,0.235205212090536,-0.20734910954225,0.84425657177927
"82","counter-matching","A2","mhl",10000,2,0.05,0.1,1,5,0.0694912301465928,0.496436886296732,0.143055780315774,-0.167949947172938,1.1608237197664
"83","counter-matching","A2","mhl",10000,2,0.05,0.1,1,6,0.330839957433,0.127833371509885,0.661895853118861,-0.445115245213091,0.70078198823286
"84","counter-matching","A2","mhl",10000,2,0.05,0.1,1,7,0.222882953957421,0.233614851181505,0.446799413143472,-0.368251269637749,0.835480972000758
