"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","r.penalty","seed","mh_pval","clog_coef","clog_pval","clog_lower","clog_upper"
"1","matching","A1","ps",20000,2,0.01,0.1,NA,1,0.184585708166346,0.325422400434594,0.371281131359037,-0.387957730553461,1.03880253142265
"2","matching","A1","ps",20000,2,0.01,0.1,NA,2,0.00259672986903736,0.993251773010259,0.00729384461794758,0.267702233221481,1.71880131279904
"3","matching","A1","ps",20000,2,0.01,0.1,NA,3,0.137149413697938,0.34484048629165,0.276675283190929,-0.276471794384313,0.966152766967613
"4","matching","A1","ps",20000,2,0.01,0.1,NA,4,0.211669820791222,0.257829109302098,0.424622493681964,-0.375084731990845,0.890742950595042
"5","matching","A1","ps",20000,2,0.01,0.1,NA,5,0.0429063903252761,0.550046336842643,0.0898017354221933,-0.0854421924678251,1.18553486615311
"6","matching","A1","ps",20000,2,0.01,0.1,NA,6,0.0898562474394999,0.405465108107288,0.18269780802415,-0.190932939798378,1.00186315601295
"7","matching","A1","ps",20000,2,0.01,0.1,NA,7,0.32365739219426,0.139761942375159,0.647582229010306,-0.459481655638652,0.739005540388969
"8","counter-matching","A1","ps",20000,2,0.01,0.1,1,1,0.158655253931457,0.336472236621157,0.319591205169545,-0.326116523638313,0.999060996880627
"9","counter-matching","A1","ps",20000,2,0.01,0.1,1,2,0.00396596176639763,0.882389180198473,0.0101481981682583,0.209644306077167,1.55513405431978
"10","counter-matching","A1","ps",20000,2,0.01,0.1,1,3,0.14835876316103,0.313657558855022,0.298696334419487,-0.277891643980185,0.905206761690229
"11","counter-matching","A1","ps",20000,2,0.01,0.1,1,4,0.193238115385616,0.251314428280905,0.387724941737374,-0.318951179245575,0.821580035807385
"12","counter-matching","A1","ps",20000,2,0.01,0.1,1,5,0.0384216220168282,0.534082485880358,0.0803863712575319,-0.0646096413301416,1.13277461309086
"13","counter-matching","A1","ps",20000,2,0.01,0.1,1,6,0.00397771928550472,0.826678573184467,0.00988392997730316,0.198637568224953,1.45471957814398
"14","counter-matching","A1","ps",20000,2,0.01,0.1,1,7,0.14835876316103,0.313657558855022,0.298696334419488,-0.277891643980186,0.90520676169023
"15","matching","A2","ps",20000,2,0.01,0.1,NA,1,0.104333893849132,0.459532329372911,0.212675286249614,-0.263173427892764,1.18223808663859
"16","matching","A2","ps",20000,2,0.01,0.1,NA,2,0.00472208284391629,0.897941593205957,0.0120611079730001,0.196871138991609,1.5990120474203
"17","matching","A2","ps",20000,2,0.01,0.1,NA,3,0.0971829554015545,0.427444014825032,0.19776544787714,-0.223030583786323,1.07791861343639
"18","matching","A2","ps",20000,2,0.01,0.1,NA,4,0.5,0,1,-0.619795032304561,0.619795032304561
"19","matching","A2","ps",20000,2,0.01,0.1,NA,5,0.0429063903252761,0.550046336842643,0.0898017354221931,-0.0854421924678255,1.18553486615311
"20","matching","A2","ps",20000,2,0.01,0.1,NA,6,0.0115704656543718,0.773189888233482,0.0267257958133647,0.0891796656697255,1.45720011079724
"21","matching","A2","ps",20000,2,0.01,0.1,NA,7,0.0912112197258679,0.451985123738722,0.186151128389121,-0.218090752815895,1.12206100029334
"22","counter-matching","A2","ps",20000,2,0.01,0.1,1,1,0.118361785318929,0.405465108107288,0.239934898753271,-0.270786713533903,1.08171692974848
